"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","mgi_symbol"
"767","ENSMUSG00000024182",981.620768132284,0.184814048690145,0.0643045687790746,2.87404226790003,0.00405254723637067,0.059843274641612,12005,"Axin1"
"768","ENSMUSG00000024188",960.987588146162,-0.239813344540425,0.105994501858022,-2.26250739742756,0.0236660723176332,0.184057291527735,66978,"Luc7l"
"769","ENSMUSG00000024193",799.890538127287,0.168241110657256,0.0770118765893599,2.18461253131572,0.0289172683348868,0.204836617782267,21652,"Phf1"
"770","ENSMUSG00000024197",1197.70369661802,-0.438445691363104,0.214992716260197,-2.03935137426921,0.0414149717244523,0.250106244004982,66905,"Plin3"
"771","ENSMUSG00000024219",1140.38234190483,-0.718470724650067,0.157638424871906,-4.55771316691273,5.17135945145519e-06,0.000449863691591675,224650,"Anks1"
"772","ENSMUSG00000024240",1215.93372980257,-0.228937268305745,0.0955739396379239,-2.39539427979071,0.0166025013218583,0.148524681594745,13831,"Epc1"
"773","ENSMUSG00000024268",32.9700245296585,0.932485952579614,0.396057701438001,2.35441944240437,0.0185516643420016,0.159124250849903,108013,"Celf4"
"774","ENSMUSG00000024270",169.345546826933,-0.371594367616294,0.160388209525464,-2.31684341832682,0.0205122629094051,0.168832989411751,106957,"Slc39a6"
"775","ENSMUSG00000024276",1358.69461198169,-0.163190927842229,0.0580524557518277,-2.81109430649867,0.0049373311952174,0.068750625242738,69256,"Zfp397"
"776","ENSMUSG00000024292",48.9625342403786,4.95616074796836,0.935313933773304,5.29892752476583,1.16484856314073e-07,2.30722399893115e-05,64385,"Cyp4f14"
"777","ENSMUSG00000024294",4669.34724731138,1.2868495304668,0.179794242500989,7.15734559998338,8.22541487123194e-13,9.76501899595312e-10,225164,"Mib1"
"778","ENSMUSG00000024304",62.3808058120733,0.511266215288851,0.246220939066096,2.07645303128182,0.0378520708599819,0.237466737362808,12558,"Cdh2"
"779","ENSMUSG00000024331",17.7584762841459,1.42109503317683,0.545427983259419,2.60546777355375,0.00917489041239023,0.103503431136311,13506,"Dsc2"
"780","ENSMUSG00000024335",4407.31738123782,0.147078317126604,0.0735568198461731,1.99951979210335,0.045552142579865,0.264937562405428,14312,"Brd2"
"781","ENSMUSG00000024340",11.1272427580889,1.67323305978174,0.634459276292633,2.63725840618018,0.00835791369008188,0.0982407769908168,547431,"Btnl2"
"782","ENSMUSG00000024353",37.1467283509342,-0.800057503911696,0.260416717626437,-3.07222021383191,0.00212472913178629,0.038912235333676,69816,"Mzb1"
"783","ENSMUSG00000024354",21.2309982899507,0.816737748069146,0.363762990341765,2.24524695957057,0.024752282974972,0.189059546052199,20522,"Slc23a1"
"784","ENSMUSG00000024383",502.764773876647,-0.238050396625063,0.0835072933060274,-2.85065396327342,0.00436294220815663,0.0631203581684711,26405,"Map3k2"
"785","ENSMUSG00000024386",9.86689509236087,7.59245210147071,2.93075342401632,2.59061442673877,0.0095804765265474,0.106354882980627,19123,"Proc"
"786","ENSMUSG00000024391",4.31611284024803,3.38425837048458,1.32570575452622,2.55279752609511,0.0106861597027206,0.113509513221214,55938,"Apom"
"787","ENSMUSG00000024399",51.0345439981761,-2.88288787326946,1.31685983866135,-2.18921390768515,0.0285812962694307,0.20345508288329,16994,"Ltb"
"788","ENSMUSG00000024414",616.901635993249,-0.278683907960272,0.0658375741062497,-4.23290061554405,2.30696468134457e-05,0.00149082937378911,94064,"Mrpl27"
"789","ENSMUSG00000024421",103.828499547675,-0.510663738624627,0.218215405979954,-2.3401818782288,0.0192743509428143,0.162831024360569,16774,"Lama3"
"790","ENSMUSG00000024423",1247.94687742943,-0.637572872434296,0.113061161206118,-5.63918560213578,1.70856298881993e-08,4.59762909871518e-06,16210,"Impact"
"791","ENSMUSG00000024424",117.988367273248,0.500823592994396,0.173740276412593,2.88259926446218,0.00394408845620646,0.0588754387745257,72747,"Ttc39c"
"792","ENSMUSG00000024429",1285.90230321131,0.222428504855195,0.066521415778609,3.34371273148279,0.000826652880783614,0.0206479064851174,14670,"Gnl1"
"793","ENSMUSG00000024431",6922.34424983422,-0.411463234074784,0.0906699857361394,-4.53803130919411,5.67818315283225e-06,0.000485580899959578,14815,"Nr3c1"
"794","ENSMUSG00000024451",959.896717525687,-0.31385147970385,0.112261775825547,-2.79571098351028,0.00517856880045516,0.0712432689371411,106952,"Arap3"
"795","ENSMUSG00000024456",5750.90811720582,0.30753254831358,0.115937351897785,2.6525752337755,0.0079880324033096,0.0952615955242569,13367,"Diaph1"
"796","ENSMUSG00000024486",385.030069609939,-0.450174777972779,0.178357670792344,-2.52400009471363,0.0116027897366009,0.119351428371091,15200,"Hbegf"
"797","ENSMUSG00000024513",2466.0915260954,-0.135475832457683,0.0624509272665792,-2.16931658803701,0.0300586567156521,0.209331887451791,17191,"Mbd2"
"798","ENSMUSG00000024524",96.3242042598943,2.262072398539,0.456337179003477,4.95701972712103,7.15827110121962e-07,9.85842199250855e-05,14680,"Gnal"
"799","ENSMUSG00000024533",893.535704839928,0.1949308021896,0.0945555484280971,2.06154800464016,0.0392507886582494,0.241880737923905,68166,"Spire1"
"800","ENSMUSG00000024534",168.951829884808,0.447331846071291,0.205978824666593,2.17173705498788,0.0298755018661312,0.208632310955799,67847,"Sncaip"
"801","ENSMUSG00000024548",670.527969863049,0.373626809372479,0.105810140952253,3.53110586575136,0.000413826082828853,0.0130081019847255,240427,"Setbp1"
"802","ENSMUSG00000024553",4.8366342614189,1.78482549409438,0.722287547168855,2.47107332957676,0.0134708193033133,0.130617851741156,14427,"Galr1"
"803","ENSMUSG00000024561",1259.30501929285,-0.0838296288032727,0.0427498338554551,-1.96093461056985,0.0498866512567336,0.278155366557032,17190,"Mbd1"
"804","ENSMUSG00000024563",872.312855275057,0.250735262486534,0.08165387406591,3.0707087122914,0.00213551375463984,0.0390035643403994,17126,"Smad2"
"805","ENSMUSG00000024571",2155.85893511373,-0.112933246179553,0.0573084004140321,-1.97062289932457,0.048767025365447,0.274736594027368,27366,"Gm16286"
"806","ENSMUSG00000024589",1583.86218833183,-0.163382328802782,0.0813844827115728,-2.00753661335921,0.0446925561660514,0.262128790625762,83814,"Nedd4l"
"807","ENSMUSG00000024593",54.2384321184051,-0.586121330052761,0.197794676160591,-2.96328162835326,0.00304377944464337,0.0497002886341364,70417,"Megf10"
"808","ENSMUSG00000024621",785.034880478129,0.877668401977667,0.385346358759332,2.2776091742593,0.022749873410237,0.179631433945776,12978,"Csf1r"
"809","ENSMUSG00000024645",962.620369567443,-0.269253334734805,0.0939793026969142,-2.8650280115735,0.00416972355770309,0.0610249172165074,67105,"Timm21"
"810","ENSMUSG00000024663",339.296097849011,0.537004214067304,0.198807764347247,2.70112294572836,0.006910578767044,0.0861985789100631,74760,"Rab3il1"
"811","ENSMUSG00000024665",206.900258913983,0.833653213980805,0.310496556018604,2.68490325519377,0.00725508033762854,0.089064495969598,56473,"Fads2"
"812","ENSMUSG00000024672",40.7923630704929,1.29003391870633,0.514708498924715,2.50633887219924,0.0121988643191594,0.123160320004639,109225,"Ms4a7"
"813","ENSMUSG00000024673",89.5757395824282,-3.12539499957911,1.47812999489532,-2.11442498993497,0.0344789851316949,0.225368980582382,12482,"Ms4a1"
"814","ENSMUSG00000024675",20.2730729558815,-2.10795531761814,1.06336849271213,-1.9823375735365,0.0474414713907531,0.270645165621776,64380,"Ms4a4c"
"815","ENSMUSG00000024725",1026.84558368999,0.230136858585846,0.103457250451092,2.22446331777048,0.0261172878774983,0.19430829498473,20409,"Ostf1"
"816","ENSMUSG00000024727",30.9007605832519,1.18566336526621,0.322259867132142,3.67921508755549,0.000233952895558228,0.00855369082999303,225997,"Trpm6"
"817","ENSMUSG00000024754",841.114738487091,0.248972242653811,0.0816983721801373,3.04745658952482,0.00230786858101905,0.041157598884773,83921,"Cemip2"
"818","ENSMUSG00000024767",1726.3445291628,0.181037748943455,0.0477302564106515,3.79293476628075,0.000148877276722742,0.0060822696332356,107260,"Otub1"
"819","ENSMUSG00000024769",697.535870682093,0.383095935190378,0.110571414849858,3.46469235028397,0.000530838368593514,0.0152612250070574,240505,"Cdc42bpg"
"820","ENSMUSG00000024772",1781.69734986308,-0.27445420715,0.103813255962588,-2.64372988406132,0.00819980634752818,0.0968335235259296,13660,"Ehd1"
"821","ENSMUSG00000024778",215.823196938282,-0.667856348048317,0.250041532409726,-2.67098166297408,0.0075629778226771,0.0917127735247278,14102,"Fas"
"822","ENSMUSG00000024780",3213.70567238241,-0.195768412745081,0.0734539884727147,-2.66518424411768,0.00769461532696065,0.0926015065764579,67072,"Cdc37l1"
"823","ENSMUSG00000024782",3023.59990815023,-0.284574589207021,0.0719943982318498,-3.95273238190812,7.7263833795528e-05,0.00372672632699313,56248,"Ak3"
"824","ENSMUSG00000024793",62.4709250221591,-0.688308960430499,0.314007095966765,-2.19201721639867,0.0283782635180613,0.202521256832218,85030,"Tnfrsf25"
"825","ENSMUSG00000024803",1635.58521585768,2.16569823423068,0.350123041821966,6.18553472790835,6.18923072586669e-10,2.97407272641527e-07,NA,"Ankrd1"
"826","ENSMUSG00000024810",299.280162864841,0.544832746549437,0.275126064682613,1.98030218321175,0.0476695836350601,0.271004939978249,77125,"Il33"
"827","ENSMUSG00000024817",792.869216761352,-0.238543297407323,0.0967303851114795,-2.46606376199585,0.013660701435031,0.131536391393987,109113,"Uhrf2"
"828","ENSMUSG00000024845",2766.97585087043,-0.147406168792943,0.0640099636355025,-2.30286287354155,0.0212865596302329,0.172532267653559,66990,"Tmem134"
"829","ENSMUSG00000024863",10.2049015958749,7.94233086852914,3.24479706470669,2.44771266435027,0.0143766255210232,0.135778159911549,17195,"Mbl2"
"830","ENSMUSG00000024869",29.5443972231603,-0.730357920916022,0.305344278216223,-2.3919161845202,0.0167606694284112,0.149343854483088,NA,"Gm49405"
"831","ENSMUSG00000024887",595.633133815508,0.313757573864163,0.0763322285778204,4.11042071887483,3.94938866631215e-05,0.00220700413931284,54447,"Asah2"
"832","ENSMUSG00000024889",335.029221061676,-0.92721569161678,0.172335351664587,-5.38029883399316,7.43622939419889e-08,1.60978280354787e-05,19671,"Rce1"
"833","ENSMUSG00000024891",313.094133208492,-0.296151946751589,0.148173960223464,-1.99867740799366,0.0456432689501006,0.265144883302664,13340,"Slc29a2"
"834","ENSMUSG00000024892",8141.7960914924,-1.23541473563994,0.286929937952484,-4.30563204542473,1.66509631002527e-05,0.0011353031665179,18563,"Pcx"
"835","ENSMUSG00000024901",131.281335912758,0.577741959902004,0.133081601374241,4.34126095520391,1.41667348848723e-05,0.00100417012605914,240518,"Peli3"
"836","ENSMUSG00000024905",29.5038384995515,-1.56203822123356,0.486615325657217,-3.21000621820508,0.00132732100886757,0.02846757980974,17771,"Tesmin"
"837","ENSMUSG00000024921",2727.38620497453,0.313089283903779,0.0900533118817693,3.47671037701349,0.000507605821882319,0.0148041917590014,67155,"Smarca2"
"838","ENSMUSG00000024922",5.00809176720036,-2.11091153048567,1.01562371510453,-2.07843859796874,0.0376689807798921,0.236931691466096,18426,"Ovol1"
"839","ENSMUSG00000024937",21116.5218033987,0.175166106122198,0.0739170155545058,2.36976702601084,0.0177992970017323,0.155307138819266,114601,"Ehbp1l1"
"840","ENSMUSG00000024940",3232.03226551742,0.237667217253491,0.0985331234386002,2.41205402771577,0.0158629306970614,0.144274748683232,16998,"Ltbp3"
"841","ENSMUSG00000024948",686.569213266385,-0.48330373993497,0.166033336603964,-2.91088374070193,0.00360408094042135,0.0556097565287337,26412,"Map4k2"
"842","ENSMUSG00000024969",2105.58363867708,-0.128499145400696,0.0599231574684164,-2.14439877385339,0.0320009484298026,0.215856664843007,13728,"Mark2"
"843","ENSMUSG00000024985",327.019743898155,0.326561748805449,0.148516795469088,2.19882032718259,0.0278907005357004,0.201032185075538,21416,"Tcf7l2"
"844","ENSMUSG00000024987",10.5989070292472,2.12023799680734,0.696489798259692,3.04417667294646,0.00233318077232668,0.0414144717212814,13082,"Cyp26a1"
"845","ENSMUSG00000024990",232.106217743697,1.52235263594759,0.760341754198933,2.00219523331516,0.045263738158845,0.264021029919598,19662,"Rbp4"
"846","ENSMUSG00000024997",7055.6076856143,-0.168791783310244,0.0680141920119553,-2.48171415872402,0.0130752114067502,0.128518556168766,11757,"Prdx3"
"847","ENSMUSG00000025004",4.72052131958445,6.7673985730688,2.34731333443838,2.88304014371732,0.00393857244482379,0.0588366166405875,13099,"Cyp2c40"
"848","ENSMUSG00000025008",152.736080892694,-0.282334922284031,0.137132047985644,-2.05885441391196,0.0395081871775204,0.242939135688478,67590,"Tctn3"
"849","ENSMUSG00000025034",1614.82344196466,0.203569415052136,0.0808190657239071,2.51882910583954,0.0117745789194393,0.120474710995194,93679,"Trim8"
"850","ENSMUSG00000025037",574.538508968652,0.265000486942637,0.107827383702615,2.45763625011529,0.0139854748498572,0.133516959990453,17161,"Maoa"
"851","ENSMUSG00000025064",103.91387242548,-4.1634778378727,1.19884184655048,-3.47291667358176,0.00051483516914473,0.0149472043798062,12821,"Col17a1"
"852","ENSMUSG00000025068",1817.51851046259,0.205513127121927,0.103291952100179,1.98963348976702,0.0466313241892638,0.267894501789844,14873,"Gsto1"
"853","ENSMUSG00000025075",138.983718774983,0.630434258936743,0.265506622590752,2.37445775470725,0.017574747200411,0.154013698653363,226243,"Habp2"
"854","ENSMUSG00000025083",173.616593425468,0.407506481277994,0.205011913269516,1.98772098059624,0.0468425572095552,0.268918181170113,226250,"Afap1l2"
"855","ENSMUSG00000025085",4942.61502736148,0.789400191786087,0.261267466050216,3.02142552886537,0.00251587518771199,0.0436965516681612,226251,"Ablim1"
"856","ENSMUSG00000025127",6.75780112461096,3.61268948025779,1.16169020957052,3.10985618239255,0.00187178456708019,0.0359774820312498,14527,"Gcgr"
"857","ENSMUSG00000025128",5.5689187613003,1.7749382352033,0.79546363752405,2.23132542013856,0.025659581031189,0.192442090067431,59058,"Bhlhe22"
"858","ENSMUSG00000025137",1167.79528872786,-0.148142328670147,0.0663564715923045,-2.23252269319466,0.0255804370940007,0.192158935309359,68671,"Pcyt2"
"859","ENSMUSG00000025144",750.363805635815,-0.140857736694044,0.0581741906870737,-2.42130977724703,0.0154646924549375,0.141884672736017,20892,"Cenpx"
"860","ENSMUSG00000025154",767.158019780774,0.197490576847582,0.0971745410127956,2.03232837314433,0.0421204239349756,0.252742122221504,71085,"Arhgap19"
"861","ENSMUSG00000025162",3045.07456905279,-0.128803318371293,0.0564378782578313,-2.2822140439594,0.0224767063537034,0.178248616883833,104318,"Csnk1d"
"862","ENSMUSG00000025165",3.14862140880106,-2.79690760867294,1.21102355309762,-2.30954022448108,0.0209136222590283,0.170812919640513,209588,"Sectm1a"
"863","ENSMUSG00000025170",602.031872043137,0.591520207260669,0.136262030529993,4.34104941016907,1.41803828127467e-05,0.00100417012605914,217371,"Rab40b"
"864","ENSMUSG00000025171",765.770625257081,0.245780584148969,0.0773743680311566,3.17651168472226,0.00149057784703322,0.0309596645339984,226122,"Ubtd1"
"865","ENSMUSG00000025188",98.5644422892789,0.480309217752387,0.225744545252641,2.12766699286067,0.0333647034350435,0.220839443008154,192236,"Hps1"
"866","ENSMUSG00000025190",18651.1875214874,-0.30941060237142,0.114419513396054,-2.70417687672225,0.0068473829750782,0.0857039658120283,14718,"Got1"
"867","ENSMUSG00000025194",10.7360791582461,5.872447581908,1.43030375820538,4.10573456737346,4.03032067055387e-05,0.0022346135102505,12780,"Abcc2"
"868","ENSMUSG00000025196",26.2234090287694,3.36468772215444,0.528033890265762,6.37210562462378,1.86450398558461e-10,1.17591935740839e-07,93721,"Cpn1"
"869","ENSMUSG00000025209",1344.16706133523,-0.481144403054501,0.127475040114338,-3.77442048751615,0.000160380050118111,0.00644778918622256,226153,"Twnk"
"870","ENSMUSG00000025212",1170.60856918613,-0.441499039456345,0.200590676958576,-2.20099481267277,0.0277363910697787,0.200134374176,94280,"Sfxn3"
"871","ENSMUSG00000025225",1165.17259180062,0.676280759807957,0.201563137271441,3.35518075855916,0.00079313141233969,0.0200840378467248,18034,"Nfkb2"
"872","ENSMUSG00000025227",158.432714377679,0.349193796502081,0.130584493636448,2.67408316851348,0.00749338654191234,0.0910484811492322,75146,"Mfsd13a"
"873","ENSMUSG00000025232",2445.53338788691,0.219988476556762,0.0640036366786124,3.43712463811098,0.00058792499324319,0.0163436669609285,15211,"Hexa"
"874","ENSMUSG00000025235",253.690007524018,-0.297594848311964,0.0949565097192223,-3.13401207765455,0.00172433758517719,0.0338856681052055,102774,"Bbs4"
"875","ENSMUSG00000025255",603.724048343503,-0.412525597836573,0.122456831290226,-3.36874303777202,0.00075511791331188,0.0194633329839851,80892,"Zfhx4"
"876","ENSMUSG00000025260",1860.9151017482,-0.125691332300501,0.0596783068430659,-2.1061477603751,0.0351915192597408,0.228151378637999,15108,"Hsd17b10"
